,0,1
0,main,8090
1,main-archive,1093
2,main-rabota,1036
3,main-internet,880
4,main-bonus,865
5,main-news,760
6,main-tariffs,668
7,main-online,584
8,main-vklad,514
9,main-archive-rabota,167
10,main-rabota-archive,167
11,main-bonus-archive,139
12,main-rabota-bonus,137
13,main-news-rabota,134
14,main-bonus-rabota,133
15,main-archive-internet,131
16,main-rabota-news,129
17,main-internet-rabota,128
18,main-archive-news,125
19,main-internet-archive,123
20,main-rabota-internet,123
21,main-archive-bonus,117
22,main-tariffs-internet,114
23,main-internet-bonus,113
24,main-news-archive,112
25,main-news-internet,108
26,main-archive-tariffs,103
27,main-internet-news,102
28,main-tariffs-archive,101
29,main-main,94
